env,lr,use_entropy,episode,return
CartPole-v0,0.0001,False,31,60.33221935779743
CartPole-v0,0.0001,False,32,19.02721317787414
CartPole-v0,0.0001,False,33,38.27098590577117
CartPole-v0,0.0001,False,34,13.994164535871148
CartPole-v0,0.0001,False,35,18.20930624027691
CartPole-v0,0.0001,False,36,19.02721317787414
CartPole-v0,0.0001,False,37,51.01097269957946
CartPole-v0,0.0001,False,38,11.361512828387072
CartPole-v0,0.0001,False,39,45.28433576092384
CartPole-v0,0.0001,False,40,22.217864060085315
CartPole-v0,0.0001,False,41,26.769663034560228
CartPole-v0,0.0001,False,42,26.769663034560228
CartPole-v0,0.0001,False,43,25.28279056684035
CartPole-v0,0.0001,False,44,18.20930624027691
CartPole-v0,0.0001,False,45,15.705680661607312
CartPole-v0,0.0001,False,46,28.226946740172476
CartPole-v0,0.0001,False,47,10.466174574128356
CartPole-v0,0.0001,False,48,28.226946740172476
CartPole-v0,0.0001,False,49,35.08973716315974
CartPole-v0,0.0001,False,50,13.994164535871148
CartPole-v0,0.0001,False,1,10.466174574128356
CartPole-v0,0.0001,False,2,24.52807127963672
CartPole-v0,0.0001,False,3,13.994164535871148
CartPole-v0,0.0001,False,4,22.995685419484463
CartPole-v0,0.0001,False,5,20.63857163563444
CartPole-v0,0.0001,False,6,13.12541872310217
CartPole-v0,0.0001,False,7,8.64827525163591
CartPole-v0,0.0001,False,8,13.994164535871148
CartPole-v0,0.0001,False,9,19.836941046095397
CartPole-v0,0.0001,False,10,8.64827525163591
CartPole-v0,0.0001,False,11,13.12541872310217
CartPole-v0,0.0001,False,12,13.12541872310217
CartPole-v0,0.0001,False,13,12.247897700103202
CartPole-v0,0.0001,False,14,32.42709509397165
CartPole-v0,0.0001,False,15,13.994164535871148
CartPole-v0,0.0001,False,16,12.247897700103202
CartPole-v0,0.0001,False,17,10.466174574128356
CartPole-v0,0.0001,False,18,9.561792499119552
CartPole-v0,0.0001,False,19,11.361512828387072
CartPole-v0,0.0001,False,20,28.226946740172476
CartPole-v0,0.0001,False,21,14.854222890512437
CartPole-v0,0.0001,False,22,9.561792499119552
CartPole-v0,0.0001,False,23,9.561792499119552
CartPole-v0,0.0001,False,24,12.247897700103202
CartPole-v0,0.0001,False,25,11.361512828387072
CartPole-v0,0.0001,False,26,12.247897700103202
CartPole-v0,0.0001,False,27,22.217864060085315
CartPole-v0,0.0001,False,28,16.548623854991238
CartPole-v0,0.0001,False,29,10.466174574128356
CartPole-v0,0.0001,False,30,13.994164535871148
CartPole-v0,0.0001,False,31,11.361512828387072
CartPole-v0,0.0001,False,32,16.548623854991238
CartPole-v0,0.0001,False,33,21.432185919278098
CartPole-v0,0.0001,False,34,19.836941046095397
CartPole-v0,0.0001,False,35,13.12541872310217
CartPole-v0,0.0001,False,36,20.63857163563444
CartPole-v0,0.0001,False,37,13.994164535871148
CartPole-v0,0.0001,False,38,11.361512828387072
CartPole-v0,0.0001,False,39,27.501966404214624
CartPole-v0,0.0001,False,40,15.705680661607312
CartPole-v0,0.0001,False,41,22.217864060085315
CartPole-v0,0.0001,False,42,13.994164535871148
CartPole-v0,0.0001,False,43,18.20930624027691
CartPole-v0,0.0001,False,44,10.466174574128356
CartPole-v0,0.0001,False,45,20.63857163563444
CartPole-v0,0.0001,False,46,14.854222890512437
CartPole-v0,0.0001,False,47,23.765728565289617
CartPole-v0,0.0001,False,48,22.217864060085315
CartPole-v0,0.0001,False,49,19.02721317787414
CartPole-v0,0.0001,False,50,23.765728565289617
CartPole-v0,0.0001,False,1,13.994164535871148
CartPole-v0,0.0001,False,2,28.226946740172476
CartPole-v0,0.0001,False,3,11.361512828387072
CartPole-v0,0.0001,False,4,19.02721317787414
CartPole-v0,0.0001,False,5,9.561792499119552
CartPole-v0,0.0001,False,6,10.466174574128356
CartPole-v0,0.0001,False,7,9.561792499119552
CartPole-v0,0.0001,False,8,12.247897700103202
CartPole-v0,0.0001,False,9,10.466174574128356
CartPole-v0,0.0001,False,10,13.994164535871148
CartPole-v0,0.0001,False,11,10.466174574128356
CartPole-v0,0.0001,False,12,14.854222890512437
CartPole-v0,0.0001,False,13,13.994164535871148
CartPole-v0,0.0001,False,14,12.247897700103202
CartPole-v0,0.0001,False,15,14.854222890512437
CartPole-v0,0.0001,False,16,19.836941046095397
CartPole-v0,0.0001,False,17,13.12541872310217
CartPole-v0,0.0001,False,18,7.72553055720799
CartPole-v0,0.0001,False,19,16.548623854991238
CartPole-v0,0.0001,False,20,11.361512828387072
CartPole-v0,0.0001,False,21,19.836941046095397
CartPole-v0,0.0001,False,22,16.548623854991238
CartPole-v0,0.0001,False,23,16.548623854991238
CartPole-v0,0.0001,False,24,31.744540498961264
CartPole-v0,0.0001,False,25,18.20930624027691
CartPole-v0,0.0001,False,26,29.655230500043043
CartPole-v0,0.0001,False,27,11.361512828387072
CartPole-v0,0.0001,False,28,31.055091413092185
CartPole-v0,0.0001,False,29,19.836941046095397
CartPole-v0,0.0001,False,30,11.361512828387072
CartPole-v0,0.0001,False,31,11.361512828387072
CartPole-v0,0.0001,False,32,20.63857163563444
CartPole-v0,0.0001,False,33,13.994164535871148
CartPole-v0,0.0001,False,34,12.247897700103202
CartPole-v0,0.0001,False,35,18.20930624027691
CartPole-v0,0.0001,False,36,11.361512828387072
CartPole-v0,0.0001,False,37,34.434077942585596
CartPole-v0,0.0001,False,38,12.247897700103202
CartPole-v0,0.0001,False,39,18.20930624027691
CartPole-v0,0.0001,False,40,18.20930624027691
CartPole-v0,0.0001,False,41,13.12541872310217
CartPole-v0,0.0001,False,42,15.705680661607312
CartPole-v0,0.0001,False,43,22.217864060085315
CartPole-v0,0.0001,False,44,13.12541872310217
CartPole-v0,0.0001,False,45,7.72553055720799
CartPole-v0,0.0001,False,46,10.466174574128356
CartPole-v0,0.0001,False,47,21.432185919278098
CartPole-v0,0.0001,False,48,13.12541872310217
CartPole-v0,0.0001,False,49,12.247897700103202
CartPole-v0,0.0001,False,50,17.383137616441324
CartPole-v0,0.0001,False,1,33.771795901601614
CartPole-v0,0.0001,False,2,13.994164535871148
CartPole-v0,0.0001,False,3,10.466174574128356
CartPole-v0,0.0001,False,4,19.02721317787414
CartPole-v0,0.0001,False,5,10.466174574128356
CartPole-v0,0.0001,False,6,13.994164535871148
CartPole-v0,0.0001,False,7,20.63857163563444
CartPole-v0,0.0001,False,8,33.10282414303193
CartPole-v0,0.0001,False,9,18.20930624027691
CartPole-v0,0.0001,False,10,10.466174574128356
CartPole-v0,0.0001,False,11,9.561792499119552
CartPole-v0,0.0001,False,12,36.38145139361286
CartPole-v0,0.0001,False,13,12.247897700103202
CartPole-v0,0.0001,False,14,19.836941046095397
CartPole-v0,0.0001,False,15,11.361512828387072
CartPole-v0,0.0001,False,16,10.466174574128356
CartPole-v0,0.0001,False,17,17.383137616441324
CartPole-v0,0.0001,False,18,21.432185919278098
CartPole-v0,0.0001,False,19,10.466174574128356
CartPole-v0,0.0001,False,20,38.27098590577117
CartPole-v0,0.0001,False,21,43.039879752284044
CartPole-v0,0.0001,False,22,22.217864060085315
CartPole-v0,0.0001,False,23,21.432185919278098
CartPole-v0,0.0001,False,24,18.20930624027691
CartPole-v0,0.0001,False,25,15.705680661607312
CartPole-v0,0.0001,False,26,11.361512828387072
CartPole-v0,0.0001,False,27,47.44035124744375
CartPole-v0,0.0001,False,28,19.02721317787414
CartPole-v0,0.0001,False,29,10.466174574128356
CartPole-v0,0.0001,False,30,16.548623854991238
CartPole-v0,0.0001,False,31,15.705680661607312
CartPole-v0,0.0001,False,32,19.02721317787414
CartPole-v0,0.0001,False,33,8.64827525163591
CartPole-v0,0.0001,False,34,11.361512828387072
CartPole-v0,0.0001,False,35,12.247897700103202
CartPole-v0,0.0001,False,36,32.42709509397165
CartPole-v0,0.0001,False,37,9.561792499119552
CartPole-v0,0.0001,False,38,17.383137616441324
CartPole-v0,0.0001,False,39,13.994164535871148
CartPole-v0,0.0001,False,40,44.17338614521359
CartPole-v0,0.0001,False,41,26.769663034560228
CartPole-v0,0.0001,False,42,26.769663034560228
CartPole-v0,0.0001,False,43,10.466174574128356
CartPole-v0,0.0001,False,44,20.63857163563444
CartPole-v0,0.0001,False,45,18.20930624027691
CartPole-v0,0.0001,False,46,20.63857163563444
CartPole-v0,0.0001,False,47,13.12541872310217
CartPole-v0,0.0001,False,48,36.38145139361286
CartPole-v0,0.0001,False,49,34.434077942585596
CartPole-v0,0.0001,False,50,14.854222890512437
CartPole-v0,0.0002,True,1,19.02721317787414
CartPole-v0,0.0002,True,2,10.466174574128356
CartPole-v0,0.0002,True,3,9.561792499119552
CartPole-v0,0.0002,True,4,13.994164535871148
CartPole-v0,0.0002,True,5,24.52807127963672
CartPole-v0,0.0002,True,6,10.466174574128356
CartPole-v0,0.0002,True,7,13.12541872310217
CartPole-v0,0.0002,True,8,28.94467727277075
CartPole-v0,0.0002,True,9,20.63857163563444
CartPole-v0,0.0002,True,10,20.63857163563444
CartPole-v0,0.0002,True,11,13.12541872310217
CartPole-v0,0.0002,True,12,19.836941046095397
CartPole-v0,0.0002,True,13,32.42709509397165
CartPole-v0,0.0002,True,14,33.771795901601614
CartPole-v0,0.0002,True,15,10.466174574128356
CartPole-v0,0.0002,True,16,26.029962661171947
CartPole-v0,0.0002,True,17,25.28279056684035
CartPole-v0,0.0002,True,18,9.561792499119552
CartPole-v0,0.0002,True,19,17.383137616441324
CartPole-v0,0.0002,True,20,28.226946740172476
CartPole-v0,0.0002,True,21,35.73883979152814
CartPole-v0,0.0002,True,22,15.705680661607312
CartPole-v0,0.0002,True,23,17.383137616441324
CartPole-v0,0.0002,True,24,28.94467727277075
CartPole-v0,0.0002,True,25,17.383137616441324
CartPole-v0,0.0002,True,26,22.217864060085315
CartPole-v0,0.0002,True,27,32.42709509397165
CartPole-v0,0.0002,True,28,29.655230500043043
CartPole-v0,0.0002,True,29,27.501966404214624
CartPole-v0,0.0002,True,30,21.432185919278098
CartPole-v0,0.0002,True,31,19.836941046095397
CartPole-v0,0.0002,True,32,28.226946740172476
CartPole-v0,0.0002,True,33,21.432185919278098
CartPole-v0,0.0002,True,34,63.76279821395025
CartPole-v0,0.0002,True,35,64.48391852949264
CartPole-v0,0.0002,True,36,33.771795901601614
CartPole-v0,0.0002,True,37,17.383137616441324
CartPole-v0,0.0002,True,38,26.029962661171947
CartPole-v0,0.0002,True,39,10.466174574128356
CartPole-v0,0.0002,True,40,41.29632180625152
CartPole-v0,0.0002,True,41,27.501966404214624
CartPole-v0,0.0002,True,42,41.883358588189004
CartPole-v0,0.0002,True,43,16.548623854991238
CartPole-v0,0.0002,True,44,10.466174574128356
CartPole-v0,0.0002,True,45,70.0619608687668
CartPole-v0,0.0002,True,46,43.6094809547612
CartPole-v0,0.0002,True,47,53.877803258190404
CartPole-v0,0.0002,True,48,29.655230500043043
CartPole-v0,0.0002,True,49,34.434077942585596
CartPole-v0,0.0002,True,50,40.10439935338386
CartPole-v0,0.0002,True,1,13.12541872310217
CartPole-v0,0.0002,True,2,19.836941046095397
CartPole-v0,0.0002,True,3,19.02721317787414
CartPole-v0,0.0002,True,4,22.995685419484463
CartPole-v0,0.0002,True,5,38.88827604671346
CartPole-v0,0.0002,True,6,13.12541872310217
CartPole-v0,0.0002,True,7,17.383137616441324
CartPole-v0,0.0002,True,8,19.02721317787414
